"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated percent of students enrolled in Kindergarten through 1"
"27013","27013","=""27013""","14.86"
"27054","27054","=""27054""","36.68"
"28001","28001","=""28001""","9.83"
"28006","28006","=""28006""","0.00"
"28007","28007","=""28007""","0.00"
"28009","28009","=""28009""","5.02"
"28012","28012","=""28012""","14.14"
"28016","28016","=""28016""","12.69"
"28017","28017","=""28017""","N/A"
"28020","28020","=""28020""","29.64"
"28021","28021","=""28021""","5.87"
"28023","28023","=""28023""","9.85"
"28025","28025","=""28025""","8.95"
"28027","28027","=""28027""","6.23"
"28031","28031","=""28031""","16.21"
"28032","28032","=""28032""","12.52"
"28033","28033","=""28033""","18.54"
"28034","28034","=""28034""","9.70"
"28036","28036","=""28036""","15.09"
"28037","28037","=""28037""","11.84"
"28039","28039","=""28039""","0.00"
"28041","28041","=""28041""","N/A"
"28042","28042","=""28042""","N/A"
"28052","28052","=""28052""","7.81"
"28054","28054","=""28054""","9.34"
"28056","28056","=""28056""","16.25"
"28071","28071","=""28071""","12.89"
"28072","28072","=""28072""","6.17"
"28073","28073","=""28073""","0.61"
"28075","28075","=""28075""","4.16"
"28077","28077","=""28077""","5.61"
"28078","28078","=""28078""","15.38"
"28079","28079","=""28079""","10.78"
"28080","28080","=""28080""","8.63"
"28081","28081","=""28081""","6.78"
"28083","28083","=""28083""","4.71"
"28086","28086","=""28086""","4.11"
"28088","28088","=""28088""","12.02"
"28089","28089","=""28089""","0.00"
"28090","28090","=""28090""","3.03"
"28091","28091","=""28091""","3.56"
"28092","28092","=""28092""","7.87"
"28097","28097","=""28097""","22.30"
"28098","28098","=""28098""","18.46"
"28101","28101","=""28101""","32.61"
"28102","28102","=""28102""","35.00"
"28103","28103","=""28103""","9.22"
"28104","28104","=""28104""","20.93"
"28105","28105","=""28105""","17.59"
"28107","28107","=""28107""","19.15"
"28108","28108","=""28108""","0.00"
"28109","28109","=""28109""","N/A"
"28110","28110","=""28110""","8.73"
"28112","28112","=""28112""","11.41"
"28114","28114","=""28114""","3.68"
"28115","28115","=""28115""","7.10"
"28117","28117","=""28117""","10.75"
"28119","28119","=""28119""","1.89"
"28120","28120","=""28120""","11.11"
"28124","28124","=""28124""","3.58"
"28125","28125","=""28125""","3.20"
"28127","28127","=""28127""","17.23"
"28128","28128","=""28128""","6.85"
"28129","28129","=""28129""","10.16"
"28133","28133","=""28133""","10.28"
"28134","28134","=""28134""","5.93"
"28135","28135","=""28135""","11.74"
"28136","28136","=""28136""","N/A"
"28137","28137","=""28137""","18.91"
"28138","28138","=""28138""","17.73"
"28144","28144","=""28144""","10.64"
"28146","28146","=""28146""","10.38"
"28147","28147","=""28147""","8.96"
"28150","28150","=""28150""","2.42"
"28152","28152","=""28152""","7.23"
"28159","28159","=""28159""","1.72"
"28163","28163","=""28163""","27.23"
"28164","28164","=""28164""","10.52"
"28166","28166","=""28166""","12.18"
"28168","28168","=""28168""","2.26"
"28169","28169","=""28169""","100.00"
"28170","28170","=""28170""","10.67"
"28173","28173","=""28173""","10.35"
"28174","28174","=""28174""","13.84"
"28202","28202","=""28202""","44.43"
"28203","28203","=""28203""","21.56"
"28204","28204","=""28204""","7.12"
"28205","28205","=""28205""","4.16"
"28206","28206","=""28206""","2.86"
"28207","28207","=""28207""","49.93"
"28208","28208","=""28208""","7.24"
"28209","28209","=""28209""","19.13"
"28210","28210","=""28210""","22.87"
"28211","28211","=""28211""","29.15"
"28212","28212","=""28212""","5.18"
"28213","28213","=""28213""","6.64"
"28214","28214","=""28214""","6.98"
"28215","28215","=""28215""","4.51"
"28216","28216","=""28216""","5.44"
"28217","28217","=""28217""","4.57"
"28223","28223","=""28223""","N/A"
"28226","28226","=""28226""","31.10"
"28227","28227","=""28227""","14.34"
"28244","28244","=""28244""","N/A"
"28262","28262","=""28262""","8.47"
"28269","28269","=""28269""","4.92"
"28270","28270","=""28270""","19.04"
"28273","28273","=""28273""","5.48"
"28274","28274","=""28274""","N/A"
"28277","28277","=""28277""","14.40"
"28278","28278","=""28278""","8.61"
"28280","28280","=""28280""","N/A"
"28282","28282","=""28282""","N/A"
"28601","28601","=""28601""","9.25"
"28602","28602","=""28602""","7.18"
"28609","28609","=""28609""","15.85"
"28610","28610","=""28610""","9.46"
"28613","28613","=""28613""","6.72"
"28625","28625","=""28625""","10.15"
"28634","28634","=""28634""","17.77"
"28650","28650","=""28650""","28.10"
"28658","28658","=""28658""","7.37"
"28660","28660","=""28660""","24.47"
"28673","28673","=""28673""","6.06"
"28677","28677","=""28677""","7.23"
"28678","28678","=""28678""","15.64"
"28682","28682","=""28682""","29.49"
"28689","28689","=""28689""","23.76"
"29031","29031","=""29031""","0.31"
"29055","29055","=""29055""","4.13"
"29058","29058","=""29058""","3.25"
"29067","29067","=""29067""","7.61"
"29704","29704","=""29704""","0.00"
"29706","29706","=""29706""","2.21"
"29707","29707","=""29707""","17.11"
"29708","29708","=""29708""","5.12"
"29710","29710","=""29710""","5.50"
"29712","29712","=""29712""","11.35"
"29714","29714","=""29714""","0.00"
"29715","29715","=""29715""","6.93"
"29717","29717","=""29717""","9.60"
"29720","29720","=""29720""","14.33"
"29724","29724","=""29724""","N/A"
"29726","29726","=""29726""","0.00"
"29729","29729","=""29729""","15.82"
"29730","29730","=""29730""","3.47"
"29732","29732","=""29732""","10.33"
"29733","29733","=""29733""","N/A"
"29742","29742","=""29742""","1.37"
"29743","29743","=""29743""","15.22"
"29745","29745","=""29745""","14.71"

"Location: Charlotte Region (Custom Region)"

"Zip Code Tabulation Area Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"